"origin","destination","in 1990","in 1995","in 2000","in 2005","in 2010","in 2015","in 2020","in 2024"
"Libya","Egypt, Arab Rep.",4040,3981,3922,3742,3754,5,3285,2564
"Morocco","Egypt, Arab Rep.",421,541,696,867,993,6,1124,979
"Sudan","Egypt, Arab Rep.",0,988,7069,23331,22156,27669,48506,5e+05
"Tunisia","Egypt, Arab Rep.",398,468,551,628,663,0,628,507
"South Africa","Egypt, Arab Rep.",126,157,196,236,261,0,278,304
"Cote d'Ivoire","Egypt, Arab Rep.",64,83,109,379,430,303,296,176
"Guinea","Egypt, Arab Rep.",51,59,69,77,97,66,165,200
"Niger","Egypt, Arab Rep.",69,98,137,187,234,8,316,298
"Nigeria","Egypt, Arab Rep.",389,527,717,953,1152,1364,1624,1578
"Senegal","Egypt, Arab Rep.",252,276,303,320,312,7,256,201
"Sierra Leone","Egypt, Arab Rep.",100,83,213,128,51,12,20,22
"China","Egypt, Arab Rep.",4823,155,698,265,4906,14,7407,34659
"Japan","Egypt, Arab Rep.",856,965,1089,1187,1190,0,1034,805
"Korea, Rep.","Egypt, Arab Rep.",201,248,307,367,403,0,420,352
"Afghanistan","Egypt, Arab Rep.",976,597,414,231,109,29,100,486
"Bangladesh","Egypt, Arab Rep.",176,220,273,343,1557,15,1173,762
"India","Egypt, Arab Rep.",713,861,1040,1211,1534,0,1207,1141
"Pakistan","Egypt, Arab Rep.",373,382,391,386,351,0,251,186
"Indonesia","Egypt, Arab Rep.",1031,1372,1833,2372,2822,0,3447,3074
"Lao PDR","Egypt, Arab Rep.",333,360,390,370,392,0,313,235
"Malaysia","Egypt, Arab Rep.",1324,1633,2017,2410,2648,0,2761,2311
"Philippines","Egypt, Arab Rep.",241,355,527,761,1009,0,1528,1485
"Singapore","Egypt, Arab Rep.",90,113,141,170,189,0,201,170
"Thailand","Egypt, Arab Rep.",297,399,538,703,844,0,1051,945
"Armenia","Egypt, Arab Rep.",44,48,52,56,66,0,85,274
"Bahrain","Egypt, Arab Rep.",569,445,349,265,185,0,78,45
"Iraq","Egypt, Arab Rep.",21241,22986,24914,23716,31719,7032,26671,20517
"Israel","Egypt, Arab Rep.",8870,9589,10389,11321,11124,0,9264,7095
"Jordan","Egypt, Arab Rep.",4396,4232,4075,3817,3813,5,3363,2616
"Kuwait","Egypt, Arab Rep.",1801,1901,1997,2037,1898,0,1434,1064
"Lebanon","Egypt, Arab Rep.",4220,3475,2866,2315,2299,5,2015,1572
"Oman","Egypt, Arab Rep.",349,350,350,338,300,0,204,144
"Qatar","Egypt, Arab Rep.",444,398,357,313,311,0,273,212
"Saudi Arabia","Egypt, Arab Rep.",6127,6418,6724,6798,6333,0,4757,3490
"Syrian Arab Republic","Egypt, Arab Rep.",4313,4509,4703,4744,4406,128008,133163,156146
"Turkiye","Egypt, Arab Rep.",530,547,564,561,514,0,759,595
"United Arab Emirates","Egypt, Arab Rep.",711,691,671,633,634,0,555,432
"Yemen, Rep.","Egypt, Arab Rep.",2840,3193,4019,3893,3771,898,12181,10716
"Belarus","Egypt, Arab Rep.",269,291,316,343,338,5,282,221
"Czechia","Egypt, Arab Rep.",181,232,299,374,430,0,490,425
"Poland","Egypt, Arab Rep.",250,381,587,879,1208,0,1968,1970
"Russian Federation","Egypt, Arab Rep.",5073,7299,10589,14882,19242,100,27682,26357
"Ukraine","Egypt, Arab Rep.",2043,2208,2393,2608,2562,0,2135,1643
"Denmark","Egypt, Arab Rep.",130,185,264,367,467,0,654,616
"Finland","Egypt, Arab Rep.",191,224,263,298,312,0,293,236
"Norway","Egypt, Arab Rep.",143,181,231,284,321,0,353,302
"Sweden","Egypt, Arab Rep.",328,433,575,738,871,0,1049,930
"United Kingdom","Egypt, Arab Rep.",2976,4295,6243,8809,11413,0,16538,15793
"Greece","Egypt, Arab Rep.",2020,1449,1044,730,469,0,167,91
"Italy","Egypt, Arab Rep.",3786,4411,5144,5795,6010,0,5578,4458
"Spain","Egypt, Arab Rep.",425,529,659,794,880,0,933,786
"Belgium","Egypt, Arab Rep.",208,296,423,586,746,0,1043,982
"France","Egypt, Arab Rep.",1820,2157,2561,2938,3102,0,2984,2419
"Germany","Egypt, Arab Rep.",2410,3415,4868,6734,8555,0,11919,11205
"Netherlands","Egypt, Arab Rep.",422,656,1030,1575,2208,0,3746,3809
"Switzerland","Egypt, Arab Rep.",538,538,539,521,464,0,317,224
"Brazil","Egypt, Arab Rep.",50,71,99,134,166,0,223,206
"Canada","Egypt, Arab Rep.",475,570,686,797,853,0,843,690
"United States","Egypt, Arab Rep.",2596,2940,3332,3646,3673,0,3217,2512
"Australia","Egypt, Arab Rep.",269,372,519,702,874,0,1166,1077
"Comoros","Libya",1230,2178,3162,3485,3824,4281,4584,4846
"Djibouti","Libya",694,863,1047,1155,1269,1421,1519,1606
"Eritrea","Libya",1023,1230,1459,1608,2600,4646,5501,5815
"Ethiopia","Libya",1618,1470,1347,1485,1630,1825,1952,2063
"Kenya","Libya",375,307,246,272,300,334,357,377
"Somalia, Fed. Rep.","Libya",3917,40088,76918,84783,93040,104178,111588,117956
"South Sudan","Libya",4753,3005,1307,1441,1582,1770,1896,2004
"Tanzania","Libya",445,317,196,216,236,264,281,297
"Chad","Libya",871,744,631,697,766,858,918,970
"Congo, Rep.","Libya",74,183,297,327,359,401,429,453
"Congo, Dem. Rep.","Libya",283,299,320,353,387,433,463,489
"Algeria","Libya",1551,2079,2642,2911,3195,3577,3830,4049
"Egypt, Arab Rep.","Libya",8384,11822,15455,17035,18695,20932,22420,23699
"Morocco","Libya",1505,2534,3605,3974,4361,4883,5229,5527
"Sudan","Libya",38599,24407,10616,11701,12842,14379,15400,40329
"Tunisia","Libya",1414,1826,2270,2502,2746,3074,3292,3480
"South Africa","Libya",543,505,476,525,576,645,690,729
"Cote d'Ivoire","Libya",594,511,438,484,531,594,636,672
"Ghana","Libya",610,526,452,499,547,612,655,692
"Guinea-Bissau","Libya",200,213,230,253,276,309,329,348
"Mali","Libya",688,464,249,275,302,337,360,381
"Mauritania","Libya",433,345,264,291,319,356,380,402
"Niger","Libya",275,267,264,291,319,356,380,402
"Nigeria","Libya",1674,1870,2098,2312,2537,2841,3041,3215
"Senegal","Libya",1096,952,824,909,998,1117,1195,1263
"Sierra Leone","Libya",117,144,175,193,212,237,251,265
"Kazakhstan","Libya",403,492,591,652,715,800,855,904
"Tajikistan","Libya",133,313,499,551,605,676,723,764
"Turkmenistan","Libya",58,115,175,193,212,237,251,265
"Uzbekistan","Libya",243,257,277,306,336,375,2122,2243
"China","Libya",1366,1800,2264,2494,2737,3064,3280,3467
"Japan","Libya",4156,2428,740,816,896,1002,1072,1133
"Korea, Rep.","Libya",806,661,527,581,638,713,761,804
"Afghanistan","Libya",677,452,236,260,285,319,340,359
"Bangladesh","Libya",318,613,919,1014,1113,1246,1334,1410
"India","Libya",2288,2902,3564,3928,4310,4826,5167,5462
"Iran, Islamic Rep.","Libya",383,340,303,334,367,410,439,464
"Pakistan","Libya",1104,1445,1810,1995,2189,2451,2625,2775
"Sri Lanka","Libya",710,486,270,298,328,366,391,413
"Indonesia","Libya",4228,6863,9612,10595,11627,13019,13944,14740
"Malaysia","Libya",6980,6351,5828,6425,7051,7894,8454,8936
"Philippines","Libya",1929,2566,3246,3578,3926,4395,4707,4976
"Singapore","Libya",198,342,492,543,597,667,714,755
"Thailand","Libya",2762,2410,2098,2312,2537,2841,3041,3215
"Armenia","Libya",511,346,188,208,228,255,270,285
"Bahrain","Libya",1091,894,712,785,862,965,1032,1091
"Iraq","Libya",3879,26910,50384,55536,60945,68240,73093,77265
"Jordan","Libya",9668,12240,15015,16551,18164,20338,21783,23026
"Kuwait","Libya",6005,6919,7947,8759,9613,10763,11527,12185
"Lebanon","Libya",6615,7318,8143,8975,9850,11029,11812,12486
"Oman","Libya",1246,1236,1247,1374,1508,1688,1806,1909
"Qatar","Libya",819,921,1040,1147,1260,1410,1508,1594
"Saudi Arabia","Libya",12976,19379,26101,28771,31573,35352,37866,40027
"Syrian Arab Republic","Libya",15014,17576,20428,22517,24709,27666,44450,46987
"Turkiye","Libya",2197,2014,1865,2056,2257,2527,2704,2858
"United Arab Emirates","Libya",1322,1669,2044,2252,2471,2766,2961,3130
"Yemen, Rep.","Libya",10956,13236,15734,17283,18983,21266,6323,6684
"Belarus","Libya",702,625,560,618,678,759,811,857
"Hungary","Libya",350,297,249,275,302,337,360,381
"Poland","Libya",1163,824,499,551,605,676,723,764
"Romania","Libya",645,537,438,484,531,594,636,672
"Russian Federation","Libya",26586,15828,5331,5876,6450,7221,7734,8175
"Ukraine","Libya",189,413,644,710,779,871,933,986
"Denmark","Libya",796,675,567,625,686,768,821,868
"Finland","Libya",538,569,611,674,740,828,885,936
"Norway","Libya",302,271,246,272,300,334,357,377
"Sweden","Libya",1021,779,551,608,667,746,797,842
"United Kingdom","Libya",8712,6959,5321,5865,6438,7207,7719,8159
"Albania","Libya",315,266,223,245,268,300,320,338
"Bosnia and Herzegovina","Libya",66,153,243,268,294,328,351,371
"Greece","Libya",3730,2804,1925,2122,2331,2608,2792,2951
"Italy","Libya",13295,9034,4923,5426,5955,6667,7141,7548
"Spain","Libya",1282,900,534,589,647,724,774,818
"Austria","Libya",2044,1288,554,611,670,750,801,847
"Belgium","Libya",1918,1197,496,548,602,673,720,761
"France","Libya",8821,6208,3699,4077,4475,5010,5364,5670
"Germany","Libya",27674,16289,5172,5701,6257,7005,7503,7931
"Monaco","Libya",176,187,202,224,246,276,293,310
"Netherlands","Libya",3048,2158,1304,1436,1576,1764,1890,1998
"Switzerland","Libya",5069,2854,686,756,830,929,993,1050
"El Salvador","Libya",458,485,520,574,631,706,754,797
"Brazil","Libya",390,286,188,208,228,255,270,285
"Canada","Libya",946,1509,2098,2312,2537,2841,3041,3215
"United States","Libya",19067,13063,7274,8018,8799,9851,10550,11152
"Australia","Libya",1499,1016,551,608,667,746,797,842
"Congo, Rep.","Morocco",1286,1180,1243,1319,1433,1847,2028,2201
"Algeria","Morocco",9188,8429,8877,9412,10231,13194,14497,15731
"Egypt, Arab Rep.","Morocco",1271,1166,1228,1303,1416,1825,2005,2176
"Libya","Morocco",803,737,777,825,896,1155,1268,1376
"Tunisia","Morocco",1763,1618,1704,1808,1964,2533,2781,3018
"Guinea","Morocco",673,618,651,691,750,967,1061,1151
"Mauritania","Morocco",1088,999,1053,1117,1213,1564,1717,1863
"Senegal","Morocco",1233,1132,1193,1266,1376,1774,1947,2113
"Iraq","Morocco",1171,1075,1133,1202,1306,1683,1849,2006
"Lebanon","Morocco",923,847,892,947,1029,1326,1455,1579
"Syrian Arab Republic","Morocco",1399,1284,1353,1436,1560,2619,3676,3989
"United Kingdom","Morocco",828,760,801,850,924,1192,1307,1418
"Italy","Morocco",1296,1189,1253,1329,1444,1862,2045,2219
"Spain","Morocco",2802,2571,2708,2872,3121,4025,4421,4797
"Belgium","Morocco",959,880,927,984,1069,1377,1512,1641
"France","Morocco",15056,13813,14547,15422,26839,34615,38063,41301
"Germany","Morocco",984,903,952,1011,1098,1415,1553,1685
"United States","Morocco",1250,1147,1208,1281,1392,1795,1971,2139
"Eritrea","Sudan",64790,287519,435158,196564,142187,159748,220960,384053
"Ethiopia","Sudan",942295,496740,123478,107732,73623,50734,70173,121969
"Kenya","Sudan",6118,6241,6367,5860,2814,2575,3561,6189
"Somalia, Fed. Rep.","Sudan",0,122,43,38,86,130,179,311
"South Sudan","Sudan",0,0,0,0,212948,255959,867593,1507976
"Uganda","Sudan",74433,57771,47612,26103,2079,1250,1728,3003
"Central African Republic","Sudan",17911,18271,18639,20771,16064,13489,25962,45125
"Chad","Sudan",196164,85807,72615,80942,80202,74514,103065,179139
"Congo, Dem. Rep.","Sudan",15855,13976,12378,13625,24549,7445,10297,17897
"Egypt, Arab Rep.","Sudan",21455,21886,22327,23620,14675,13423,18566,32270
"Libya","Sudan",2388,2439,2492,2676,1701,1557,2153,3742
"Mali","Sudan",1058,1079,1101,1171,734,678,938,1630
"Nigeria","Sudan",23208,23677,24143,25762,16214,14828,20508,35645
"China","Sudan",1678,1711,1746,1890,1215,1111,1536,2670
"India","Sudan",2259,2304,2351,2397,1396,1277,1764,3066
"Cameroon","Tunisia",0,0,0,0,555,715,758,797
"Algeria","Tunisia",13757,13669,10041,9577,8068,10411,11060,11622
"Egypt, Arab Rep.","Tunisia",607,602,698,667,880,1136,1206,1267
"Libya","Tunisia",1224,1215,1804,1725,7062,9119,9688,10180
"Morocco","Tunisia",7275,7220,6607,6315,4480,5785,6146,6458
"Cote d'Ivoire","Tunisia",550,546,632,607,504,646,685,720
"Mali","Tunisia",200,198,230,220,771,996,1058,1112
"Mauritania","Tunisia",376,374,433,414,409,528,560,588
"Nigeria","Tunisia",116,119,133,128,420,542,575,604
"Senegal","Tunisia",325,323,373,357,317,409,433,455
"Iraq","Tunisia",0,0,11,8,449,636,675,709
"Syrian Arab Republic","Tunisia",375,377,437,418,829,1228,1382,1452
"Italy","Tunisia",1622,1610,1620,1548,1705,2208,2345,2464
"France","Tunisia",3870,3841,4789,4577,6669,8612,9151,9616
"Germany","Tunisia",903,896,1038,992,1121,1448,1537,1615
"United States","Tunisia",236,234,279,259,470,607,644,677
"Kenya","Botswana",122,179,254,395,1043,1133,1210,1277
"Madagascar","Botswana",100,161,238,359,484,525,560,591
"Malawi","Botswana",713,1150,1709,1487,1274,1384,1478,1560
"Mauritius","Botswana",292,471,700,1055,201,218,231,244
"Mozambique","Botswana",184,297,441,665,522,566,604,638
"Seychelles","Botswana",45,67,95,147,11,10,9,10
"Uganda","Botswana",295,411,570,901,281,305,324,342
"Tanzania","Botswana",460,743,1104,1664,702,763,814,859
"Zambia","Botswana",1991,3213,4773,7193,3800,4128,4415,4661
"Zimbabwe","Botswana",4905,7917,11763,33411,55306,60080,64301,67878
"Angola","Botswana",551,889,1320,1990,672,730,779,822
"Congo, Dem. Rep.","Botswana",526,849,1261,1901,973,1056,1129,1192
"Eswatini","Botswana",108,174,259,391,526,570,608,642
"Lesotho","Botswana",505,816,1212,1827,241,261,277,292
"Namibia","Botswana",286,462,687,1208,853,926,988,1043
"South Africa","Botswana",5780,9329,13860,9376,4933,5359,5733,6052
"Nigeria","Botswana",108,187,285,422,1063,1154,1233,1302
"China","Botswana",874,1055,1348,2720,4111,4466,4777,5043
"India","Botswana",1967,2375,3032,3936,4863,5282,5650,5964
"Pakistan","Botswana",145,175,223,374,402,436,464,490
"Sri Lanka","Botswana",398,480,613,1028,853,926,988,1043
"Denmark","Botswana",102,98,104,200,298,324,344,363
"Ireland","Botswana",185,178,190,364,541,587,626,661
"Norway","Botswana",116,111,118,227,338,367,391,413
"Sweden","Botswana",129,124,133,254,377,410,437,461
"United Kingdom","Botswana",3289,2034,993,1060,1133,1231,1315,1388
"Italy","Botswana",161,155,165,317,472,511,545,575
"Portugal","Botswana",137,132,141,270,402,436,464,490
"Germany","Botswana",332,320,341,653,291,316,336,355
"Netherlands","Botswana",188,181,193,370,550,597,637,672
"Canada","Botswana",112,104,106,210,161,174,185,195
"United States","Botswana",603,313,55,507,793,861,920,971
"Australia","Botswana",120,111,114,225,338,367,391,413
"Burundi","Eswatini",7,132,255,337,360,402,469,475
"Ethiopia","Eswatini",0,3,15,20,26,30,28,28
"Mozambique","Eswatini",46196,18085,13127,11345,10841,9857,10011,10136
"Rwanda","Eswatini",2,52,112,195,229,342,387,392
"Somalia, Fed. Rep.","Eswatini",2,128,116,156,146,181,305,309
"Uganda","Eswatini",1,8,30,39,48,55,54,55
"Angola","Eswatini",4,143,166,219,201,131,133,135
"Congo, Rep.","Eswatini",1,9,36,49,62,72,71,72
"Congo, Dem. Rep.","Eswatini",6,180,193,246,267,570,675,683
"Botswana","Eswatini",161,64,83,69,54,41,39,39
"Lesotho","Eswatini",293,111,131,167,198,221,223,226
"South Africa","Eswatini",20848,9097,12272,12415,12260,12511,12712,12870
"Liberia","Eswatini",2,5,18,29,40,46,44,45
"Canada","Eswatini",4,4,12,15,19,19,17,17
"United States","Eswatini",281,112,146,190,228,256,259,262
"Australia","Eswatini",8,6,16,30,44,55,54,55
"New Zealand","Eswatini",4,2,5,13,21,25,23,23
"Malawi","Lesotho",51,44,36,36,36,51,67,84
"Mozambique","Lesotho",32,28,23,23,23,32,42,52
"Uganda","Lesotho",185,160,130,132,134,191,251,313
"Tanzania","Lesotho",116,100,81,82,83,118,155,193
"Zambia","Lesotho",77,72,66,67,68,97,127,158
"Zimbabwe","Lesotho",77,72,66,67,68,97,127,158
"Botswana","Lesotho",103,104,102,104,106,151,198,247
"Eswatini","Lesotho",51,44,36,36,36,51,67,84
"Namibia","Lesotho",5,4,4,4,4,5,6,7
"South Africa","Lesotho",2777,2528,2441,2492,2544,3629,4782,5964
"Ghana","Lesotho",122,105,85,86,87,124,163,203
"China","Lesotho",162,140,114,116,118,168,221,276
"India","Lesotho",308,266,215,219,223,318,419,522
"Pakistan","Lesotho",308,266,215,219,223,318,419,522
"United States","Lesotho",95,91,85,86,87,124,163,203
"Burundi","Namibia",575,549,511,404,389,380,406,431
"Ethiopia","Namibia",312,298,278,219,211,206,220,233
"Kenya","Namibia",1641,1569,1458,1152,1110,1086,1161,1232
"Malawi","Namibia",545,521,485,383,369,361,386,409
"Mauritius","Namibia",158,151,141,111,106,103,110,117
"Mozambique","Namibia",203,194,182,143,137,134,142,151
"Rwanda","Namibia",530,506,471,372,358,350,374,397
"Seychelles","Namibia",84,80,75,59,56,54,57,60
"Somalia, Fed. Rep.","Namibia",138,131,123,97,93,91,97,103
"Uganda","Namibia",712,680,633,500,481,470,502,532
"Tanzania","Namibia",1624,1553,1442,1140,1098,1074,1148,1218
"Zambia","Namibia",4473,4277,3971,3139,3024,2959,3167,3359
"Zimbabwe","Namibia",21364,20430,18964,14995,14449,14141,15135,16053
"Angola","Namibia",24028,22978,49790,39319,38119,37350,40105,42539
"Cameroon","Namibia",175,167,156,123,118,115,122,129
"Congo, Rep.","Namibia",1652,1579,1468,1160,1117,1093,1168,1239
"Congo, Dem. Rep.","Namibia",4707,4501,4179,3522,3548,3472,4334,4597
"Algeria","Namibia",716,684,637,503,484,473,505,536
"Egypt, Arab Rep.","Namibia",257,245,229,181,174,170,180,191
"Libya","Namibia",52,49,48,37,35,34,35,37
"Sudan","Namibia",294,281,262,207,199,194,207,220
"Botswana","Namibia",975,932,865,683,658,644,689,731
"Eswatini","Namibia",290,277,259,204,196,191,204,216
"Lesotho","Namibia",186,177,166,131,126,123,131,139
"South Africa","Namibia",12536,11988,11132,8802,8481,8300,8883,9422
"Benin","Namibia",230,219,206,162,156,152,161,171
"Burkina Faso","Namibia",105,100,94,74,71,69,73,77
"Cote d'Ivoire","Namibia",45,43,41,32,30,29,30,32
"Gambia, The","Namibia",128,122,114,90,86,84,88,93
"Ghana","Namibia",212,202,189,149,143,139,148,157
"Guinea","Namibia",79,75,71,56,53,51,53,56
"Nigeria","Namibia",1453,1389,1290,1020,982,961,1029,1092
"Senegal","Namibia",45,43,41,32,30,29,30,32
"Sierra Leone","Namibia",242,231,216,170,163,159,170,180
"China","Namibia",4593,4392,4078,3224,3106,3039,3252,3450
"Korea, Dem. People's Rep.","Namibia",149,142,133,105,101,98,104,110
"Japan","Namibia",168,160,150,118,113,110,117,124
"Korea, Rep.","Namibia",52,49,48,37,35,34,35,37
"Afghanistan","Namibia",64,61,58,45,43,42,44,47
"Bangladesh","Namibia",48,45,44,34,32,31,32,34
"India","Namibia",997,953,886,700,674,659,704,747
"Iran, Islamic Rep.","Namibia",45,43,41,32,30,29,30,32
"Pakistan","Namibia",246,235,219,173,166,162,173,184
"Indonesia","Namibia",133,127,120,94,90,88,94,100
"Philippines","Namibia",364,348,325,256,246,240,256,272
"Thailand","Namibia",109,104,98,77,74,72,76,81
"Armenia","Namibia",94,89,84,66,63,61,64,68
"Bahrain","Namibia",72,68,65,51,49,47,49,52
"Israel","Namibia",161,153,143,113,108,105,112,119
"Lebanon","Namibia",68,65,61,48,46,45,47,50
"Turkiye","Namibia",52,49,48,37,35,34,35,37
"Bulgaria","Namibia",45,43,41,32,30,29,30,32
"Czechia","Namibia",112,107,101,79,76,74,78,83
"Poland","Namibia",249,238,222,175,168,164,175,186
"Romania","Namibia",45,43,41,32,30,29,30,32
"Russian Federation","Namibia",672,642,597,472,454,444,474,503
"Ukraine","Namibia",380,363,338,267,257,251,267,283
"Denmark","Namibia",168,160,150,118,113,110,117,124
"Finland","Namibia",116,110,104,82,79,77,81,86
"Ireland","Namibia",89,85,80,63,60,58,61,65
"Norway","Namibia",79,75,71,56,53,51,53,56
"Sweden","Namibia",149,142,133,105,101,98,104,110
"United Kingdom","Namibia",2540,2429,2256,1783,1718,1681,1798,1907
"Italy","Namibia",1219,1165,1083,856,824,806,863,915
"Portugal","Namibia",641,613,570,450,433,423,451,478
"Spain","Namibia",508,485,452,357,344,336,358,380
"Austria","Namibia",901,861,801,633,609,596,636,675
"Belgium","Namibia",272,260,242,191,184,180,192,204
"France","Namibia",793,758,705,557,536,524,560,594
"Germany","Namibia",13401,12815,11896,9406,9063,8870,9494,10070
"Luxembourg","Namibia",64,61,58,45,43,42,44,47
"Netherlands","Namibia",763,729,679,536,516,505,539,572
"Switzerland","Namibia",634,606,564,445,428,418,446,473
"Antigua and Barbuda","Namibia",693,662,616,487,469,459,490,520
"Bahamas, The","Namibia",74,70,67,52,50,48,50,53
"Cuba","Namibia",1005,961,893,706,680,665,710,753
"Argentina","Namibia",74,70,67,52,50,48,50,53
"Brazil","Namibia",790,755,702,555,534,522,558,592
"Chile","Namibia",48,45,44,34,32,31,32,34
"Canada","Namibia",279,266,248,196,188,184,196,208
"United States","Namibia",1553,1485,1379,1090,1050,1027,1098,1165
"Australia","Namibia",793,758,705,557,536,524,560,594
"New Zealand","Namibia",74,70,67,52,50,48,50,53
"Burundi","South Africa",12,14,1926,7597,6411,10146,14477,12416
"Comoros","South Africa",35,45,130,571,72,112,110,108
"Eritrea","South Africa",12,13,460,1191,1128,3580,3565,3109
"Ethiopia","South Africa",12,109,698,11887,22273,72207,117442,104402
"Kenya","South Africa",6068,5036,6930,18872,10766,10174,8580,6208
"Madagascar","South Africa",478,339,240,230,245,271,282,299
"Malawi","South Africa",19462,12658,20543,43126,73730,121300,177019,220437
"Mauritius","South Africa",4839,4927,3848,3234,2880,2295,1761,1725
"Mozambique","South Africa",116573,274920,252569,310547,374505,403208,413226,412058
"Rwanda","South Africa",61,586,1562,3273,3133,3845,3569,3172
"Seychelles","South Africa",357,372,289,285,325,377,426,460
"Somalia, Fed. Rep.","South Africa",12,488,5109,22346,30960,66062,45539,42516
"Uganda","South Africa",808,1282,2526,5979,5396,8609,10155,7678
