"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD","ProductDescription","Quantity","NetWeight in KGM"
"H4","HUN","0207","Hungary","CZE","Czech Republic",2018,"Import",5,4536.998,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","DEU","Germany",2018,"Export",6,99408.175,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","DEU","Germany",2018,"Import",5,14477.47,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","DNK","Denmark",2018,"Export",6,5269.628,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","DNK","Denmark",2018,"Import",5,606.412,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","ESP","Spain",2018,"Export",6,8069.582,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","ESP","Spain",2018,"Import",5,409.382,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","EST","Estonia",2018,"Export",6,1722.702,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","EST","Estonia",2018,"Import",5,115.539,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","FIN","Finland",2018,"Export",6,19.443,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","FIN","Finland",2018,"Import",5,32.692,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","FRA","France",2018,"Export",6,83409.226,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","FRA","France",2018,"Import",5,1531.183,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","GRC","Greece",2018,"Export",6,2737.562,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","GRC","Greece",2018,"Import",5,45.041,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","HRV","Croatia",2018,"Export",6,13673.368,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","HRV","Croatia",2018,"Import",5,259.01,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","IRL","Ireland",2018,"Export",6,1525.121,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","IRL","Ireland",2018,"Import",5,56.23,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","ITA","Italy",2018,"Export",6,19476.425,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","ITA","Italy",2018,"Import",5,2935.956,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","LTU","Lithuania",2018,"Export",6,662.211,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","LTU","Lithuania",2018,"Import",5,319.742,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","LUX","Luxembourg",2018,"Export",6,186.795,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","LUX","Luxembourg",2018,"Import",5,6.166,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","LVA","Latvia",2018,"Export",6,232.728,"Meat and edible offal, of the poult",0,0
